Country,City,UpdateTimeUTC,JamsDelay,TrafficIndexLive,JamsLengthInKms,JamsCount,TrafficIndexWeekAgo,UpdateTimeUTCWeekAgo,TravelTimeLivePer10KmsMins,TravelTimeHistoricPer10KmsMins,MinsDelay
ARE,abu-dhabi,46:30.0,33.4,4,7.7,11,6,16:30.0,8.242548747,8.316947781,-0.074399034
ARE,abu-dhabi,46:30.0,20.5,3,6.9,6,4,46:30.0,8.071429217,8.217968664,-0.146539447
ARE,abu-dhabi,16:30.0,5.1,2,0.2,1,4,46:30.0,8.231558914,8.439730597,-0.208171682
ARE,abu-dhabi,01:30.0,6.6,2,2.4,3,2,01:30.0,8.538111275,8.755070314,-0.216959039
ARE,abu-dhabi,01:30.0,0,2,0,0,2,46:30.0,8.595155223,8.798876377,-0.203721154
ARE,abu-dhabi,01:30.0,10.3,2,0.6,3,2,01:30.0,8.598422786,8.845470218,-0.247047432
ARE,abu-dhabi,01:00.0,29.1,6,5.3,10,3,01:00.0,8.99141435,9.026905411,-0.035491062
ARE,abu-dhabi,01:00.0,34.8,12,4.5,7,6,01:00.0,9.469444184,9.147728269,0.321715916
ARE,abu-dhabi,16:00.0,250.3,17,20.1,50,9,01:00.0,10.13719493,9.544239331,0.592955601
ARE,abu-dhabi,46:00.0,249.4,14,18.1,44,12,01:30.0,10.04306517,9.819562682,0.223502484
ARE,abu-dhabi,01:00.0,126.5,17,16.1,47,15,01:00.0,10.64827827,10.72267262,-0.074394353
ARE,abu-dhabi,01:00.0,235,30,43.7,74,20,01:00.0,11.57641039,10.73193496,0.844475429
ARE,abu-dhabi,01:00.0,625,47,115.2,161,29,01:00.0,12.87001856,10.91299845,1.95702011
ARE,abu-dhabi,31:00.0,753.4,47,139,187,30,46:00.0,12.81123639,10.96791661,1.843319781
ARE,abu-dhabi,46:00.0,750.7,39,126.3,182,25,46:00.0,12.17069966,10.7426802,1.428019459
ARE,abu-dhabi,46:00.0,282.5,26,53,83,15,46:00.0,10.90411484,10.16818621,0.735928627
ARE,abu-dhabi,31:00.0,311.7,25,38,88,12,31:00.0,11.00815461,10.22994842,0.77820619
ARE,abu-dhabi,46:30.0,294.1,19,35.9,84,13,01:00.0,10.52453291,10.1987091,0.325823806
ARE,abu-dhabi,46:30.0,135.5,16,16.9,43,14,01:00.0,10.31634205,10.17639874,0.139943309
ARE,abu-dhabi,16:30.0,148,15,18.6,44,14,46:30.0,10.17723578,10.25278217,-0.075546388
ARE,abu-dhabi,31:30.0,108.3,14,15.4,34,12,16:30.0,10.1054221,10.25466196,-0.149239865
ARE,abu-dhabi,01:00.0,81.8,12,14,27,11,16:30.0,9.636187963,9.830402796,-0.194214833
ARE,abu-dhabi,01:30.0,69.2,13,9.7,25,10,16:30.0,9.761237544,9.848321361,-0.087083817
ARE,abu-dhabi,01:30.0,428.1,24,61.5,117,9,01:30.0,10.83653851,10.23607267,0.600465841
ARE,abu-dhabi,46:30.0,394.6,22,62.3,115,7,46:30.0,10.50140974,10.08523608,0.416173662
ARE,abu-dhabi,46:30.0,44.3,6,9.3,17,4,01:30.0,8.374029102,8.398079524,-0.024050422
ARE,abu-dhabi,46:30.0,12.2,3,4,4,3,46:30.0,8.021563179,8.177042145,-0.155478966
ARE,abu-dhabi,01:30.0,21.6,3,6.2,4,1,01:30.0,8.565557654,8.72040974,-0.154852085
ARE,abu-dhabi,01:30.0,0,2,0,0,2,31:30.0,8.558962534,8.792834709,-0.233872175
ARE,abu-dhabi,01:30.0,8.4,2,0.9,1,2,01:30.0,8.629246653,8.887920551,-0.258673898
ARE,abu-dhabi,01:30.0,5.9,3,0.2,2,3,01:30.0,8.805398773,9.043690432,-0.238291659
ARE,abu-dhabi,01:00.0,12.5,6,0.6,5,6,01:30.0,9.186058823,9.37144013,-0.185381307
ARE,abu-dhabi,01:00.0,28.8,9,5.3,12,9,01:00.0,9.667224184,9.825094616,-0.157870431
ARE,abu-dhabi,01:00.0,72.8,12,8.4,22,12,01:00.0,10.18793627,10.39969231,-0.211756048
ARE,abu-dhabi,01:00.0,139.9,16,16.9,49,15,01:00.0,10.64231185,10.74293257,-0.100620719
ARE,abu-dhabi,01:00.0,256,21,33.2,71,17,01:00.0,10.98814839,10.97392587,0.014222512
ARE,abu-dhabi,01:00.0,593.8,33,83.4,159,17,01:00.0,11.95274132,11.26766546,0.685075859
ARE,abu-dhabi,01:00.0,747.5,33,92.1,176,16,46:00.0,11.89789435,11.0910872,0.806807149
ARE,abu-dhabi,46:00.0,698.7,31,93.1,171,14,46:00.0,11.66237498,10.9284702,0.733904775
ARE,abu-dhabi,31:00.0,631.2,28,87,153,14,46:00.0,11.40614468,10.7769445,0.629200184
ARE,abu-dhabi,01:00.0,166.5,22,25.4,51,10,46:00.0,10.70054824,10.25077372,0.449774522
ARE,abu-dhabi,31:00.0,350.2,26,51.7,102,8,31:00.0,11.15176346,10.35986845,0.791895012
ARE,abu-dhabi,46:30.0,258.1,18,34.5,79,7,01:00.0,10.45238524,10.23632454,0.216060699
ARE,abu-dhabi,01:30.0,168.1,16,19.9,47,7,01:00.0,10.38060225,10.33081592,0.049786336
ARE,abu-dhabi,01:30.0,167.2,16,22.6,45,7,01:30.0,10.30902827,10.27935662,0.029671654
ARE,abu-dhabi,46:30.0,167.9,16,21.5,44,7,46:30.0,10.25128251,10.21017793,0.04110458
ARE,abu-dhabi,01:30.0,147.7,16,31.6,33,6,01:30.0,10.0368043,9.79645852,0.240345783
ARE,abu-dhabi,01:30.0,280.9,21,45.9,53,7,01:30.0,10.32362774,9.804974067,0.518653677
ARE,abu-dhabi,01:30.0,592.7,31,85.9,144,8,31:30.0,11.35791251,10.31913829,1.038774222
ARE,abu-dhabi,46:30.0,562.2,27,104.2,137,6,46:30.0,10.91730868,10.14669067,0.770618008
ARE,abu-dhabi,46:30.0,101,10,30.5,29,3,16:30.0,8.598066382,8.386193451,0.21187293
ARE,abu-dhabi,46:30.0,19.5,5,7.5,8,2,01:30.0,8.249622153,8.244286049,0.005336104
ARE,abu-dhabi,01:30.0,2.2,2,0.6,1,3,01:30.0,8.483154415,8.704785552,-0.221631137
ARE,abu-dhabi,01:30.0,8.3,2,0.9,4,5,01:30.0,8.635755232,8.888329005,-0.252573772
ARE,abu-dhabi,01:30.0,9,2,2.7,4,21,01:30.0,8.580334286,8.853107593,-0.272773308
ARE,abu-dhabi,01:30.0,16.1,3,1.9,4,31,16:30.0,8.817540592,9.062964449,-0.245423858
ARE,abu-dhabi,01:30.0,11.8,5,1.1,4,27,01:00.0,9.215087599,9.426104985,-0.211017386
ARE,abu-dhabi,01:30.0,34.5,8,3.5,10,28,46:00.0,9.596746578,9.762671495,-0.165924917
ARE,abu-dhabi,01:00.0,53.4,12,3.9,18,22,01:00.0,10.08881696,10.29101055,-0.202193587
ARE,abu-dhabi,01:00.0,133.6,16,12.6,43,22,46:00.0,10.64475729,10.77432789,-0.129570604
ARE,abu-dhabi,01:00.0,248.2,21,31.9,74,20,46:00.0,11.1018673,11.07942834,0.022438961
ARE,abu-dhabi,01:00.0,601.7,32,87.9,164,23,01:00.0,11.85421812,11.25075002,0.6034681
ARE,abu-dhabi,01:00.0,770.1,35,100.1,180,24,01:00.0,11.98863791,11.09694062,0.891697293
ARE,abu-dhabi,46:00.0,689.4,32,95.1,175,23,46:00.0,11.7149077,10.94150203,0.77340567
ARE,abu-dhabi,31:00.0,559.4,29,84.7,152,23,46:00.0,11.38248096,10.74696151,0.635519442
ARE,abu-dhabi,01:00.0,164.8,22,27.4,52,17,46:00.0,10.74947455,10.32362378,0.425850768
ARE,abu-dhabi,31:00.0,294,24,45.9,96,14,01:00.0,11.02486631,10.39311317,0.631753139
